Price,Close,High,Low,Open,Volume
Ticker,TSLA,TSLA,TSLA,TSLA,TSLA
Date,,,,,
2024-09-10,226.1699981689453,226.39999389648438,218.63999938964844,220.07000732421875,78891100
2024-09-11,228.1300048828125,228.47000122070312,216.8000030517578,224.5500030517578,83548600
2024-09-12,229.80999755859375,231.4499969482422,223.8300018310547,224.66000366210938,72020000
2024-09-13,230.2899932861328,232.6699981689453,226.32000732421875,228.0,59515100
2024-09-16,226.77999877929688,229.9600067138672,223.52999877929688,229.3000030517578,54323000
2024-09-17,227.8699951171875,234.57000732421875,226.5500030517578,229.4499969482422,66761600
2024-09-18,227.1999969482422,235.67999267578125,226.8800048828125,230.08999633789062,78010200
2024-09-19,243.9199981689453,244.24000549316406,232.1300048828125,234.0,102694600
2024-09-20,238.25,243.99000549316406,235.9199981689453,241.52000427246094,99879100
2024-09-23,250.0,250.0,241.9199981689453,242.61000061035156,86927200
2024-09-24,254.27000427246094,257.19000244140625,249.0500030517578,254.0800018310547,88491000
2024-09-25,257.0199890136719,257.04998779296875,252.27999877929688,252.5399932861328,65034300
2024-09-26,254.22000122070312,261.75,251.52999877929688,260.6000061035156,67142200
2024-09-27,260.4599914550781,260.70001220703125,254.1199951171875,257.3800048828125,70988100
2024-09-30,261.6300048828125,264.8599853515625,255.77000427246094,259.0400085449219,80705700
2024-10-01,258.0199890136719,263.9800109863281,248.52999877929688,262.6700134277344,87397600
2024-10-02,249.02000427246094,251.16000366210938,241.5,247.5500030517578,93983900
2024-10-03,240.66000366210938,249.7899932861328,237.80999755859375,244.47999572753906,80729200
2024-10-04,250.0800018310547,250.9600067138672,244.5800018310547,246.69000244140625,86573200
2024-10-07,240.8300018310547,249.8300018310547,240.6999969482422,249.0,68113300
2024-10-08,244.5,246.2100067138672,240.55999755859375,243.55999755859375,56303200
2024-10-09,241.0500030517578,247.42999267578125,239.50999450683594,243.82000732421875,66289500
2024-10-10,238.77000427246094,242.7899932861328,232.33999633789062,241.80999755859375,83087100
2024-10-11,217.8000030517578,223.33999633789062,214.3800048828125,220.1300048828125,142628900
2024-10-14,219.16000366210938,221.91000366210938,213.74000549316406,220.1300048828125,86291900
2024-10-15,219.57000732421875,224.25999450683594,217.1199951171875,220.00999450683594,62988800
2024-10-16,221.3300018310547,222.82000732421875,218.92999267578125,221.39999389648438,49632800
2024-10-17,220.88999938964844,222.0800018310547,217.89999389648438,221.58999633789062,50791800
2024-10-18,220.6999969482422,222.27999877929688,219.22999572753906,220.7100067138672,49611900
2024-10-21,218.85000610351562,220.47999572753906,215.72999572753906,218.89999389648438,47329000
2024-10-22,217.97000122070312,218.22000122070312,215.25999450683594,217.30999755859375,43268700
2024-10-23,213.64999389648438,218.72000122070312,212.11000061035156,217.1300048828125,80938900
2024-10-24,260.4800109863281,262.1199951171875,242.64999389648438,244.67999267578125,204491900
2024-10-25,269.19000244140625,269.489990234375,255.32000732421875,256.010009765625,161611900
2024-10-28,262.510009765625,273.5400085449219,262.239990234375,270.0,107653600
2024-10-29,259.5199890136719,264.9800109863281,255.50999450683594,264.510009765625,80521800
2024-10-30,257.54998779296875,263.3500061035156,255.82000732421875,258.0400085449219,53993600
2024-10-31,249.85000610351562,259.75,249.25,257.989990234375,66575300
2024-11-01,248.97999572753906,254.0,246.6300048828125,252.0399932861328,57544800
2024-11-04,242.83999633789062,248.89999389648438,238.8800048828125,244.55999755859375,68802400
2024-11-05,251.44000244140625,255.27999877929688,246.2100067138672,247.33999633789062,69282500
2024-11-06,288.5299987792969,289.5899963378906,275.6199951171875,284.6700134277344,165228700
2024-11-07,296.9100036621094,299.75,285.5199890136719,288.8900146484375,117309200
2024-11-08,321.2200012207031,328.7099914550781,297.6600036621094,299.1400146484375,204782800
2024-11-11,350.0,358.6400146484375,336.0,346.29998779296875,210521600
2024-11-12,328.489990234375,345.8399963378906,323.30999755859375,342.739990234375,155726000
2024-11-13,330.239990234375,344.6000061035156,322.5,335.8500061035156,125405600
2024-11-14,311.17999267578125,329.9800109863281,310.3699951171875,327.69000244140625,120726100
2024-11-15,320.7200012207031,324.67999267578125,309.2200012207031,310.57000732421875,114440300
2024-11-18,338.739990234375,348.54998779296875,330.010009765625,340.7300109863281,126547500
2024-11-19,346.0,347.3800048828125,332.75,335.760009765625,88852500
2024-11-20,342.0299987792969,346.6000061035156,334.29998779296875,345.0,66340700
2024-11-21,339.6400146484375,347.989990234375,335.2799987792969,343.80999755859375,58011700
2024-11-22,352.55999755859375,361.5299987792969,337.70001220703125,341.0899963378906,89140700
2024-11-25,338.5899963378906,361.92999267578125,338.20001220703125,360.1400146484375,95890900
2024-11-26,338.2300109863281,346.9599914550781,335.6600036621094,341.0,62295900
2024-11-27,332.8900146484375,342.54998779296875,326.5899963378906,341.79998779296875,57896400
2024-11-29,345.1600036621094,345.45001220703125,334.6499938964844,336.0799865722656,37167600
2024-12-02,357.0899963378906,360.0,351.1499938964844,352.3800048828125,77986500
2024-12-03,351.4200134277344,355.69000244140625,348.20001220703125,351.79998779296875,58267200
2024-12-04,357.92999267578125,358.1000061035156,348.6000061035156,353.0,50810900
2024-12-05,369.489990234375,375.42999267578125,359.5,359.8699951171875,81403600
2024-12-06,389.2200012207031,389.489990234375,370.79998779296875,377.4200134277344,81455800
2024-12-09,389.7900085449219,404.79998779296875,378.010009765625,397.6099853515625,96359200
2024-12-10,400.989990234375,409.7300109863281,390.8500061035156,392.67999267578125,97563600
2024-12-11,424.7699890136719,424.8800048828125,402.3800048828125,409.70001220703125,104287600
2024-12-12,418.1000061035156,429.29998779296875,415.0,424.8399963378906,87752200
2024-12-13,436.2300109863281,436.29998779296875,415.7099914550781,420.0,89000200
2024-12-16,463.0199890136719,463.19000244140625,436.1499938964844,441.0899963378906,114083800
2024-12-17,479.8599853515625,483.989990234375,457.510009765625,475.8999938964844,131223000
2024-12-18,440.1300048828125,488.5400085449219,427.010009765625,466.5,149340800
2024-12-19,436.1700134277344,456.3599853515625,420.0199890136719,451.8800048828125,118566100
2024-12-20,421.05999755859375,447.0799865722656,417.6400146484375,425.510009765625,132216200
2024-12-23,430.6000061035156,434.510009765625,415.4100036621094,431.0,72698100
2024-12-24,462.2799987792969,462.7799987792969,435.1400146484375,435.8999938964844,59551800
2024-12-26,454.1300048828125,465.3299865722656,451.0199890136719,465.1600036621094,76366400
2024-12-27,431.6600036621094,450.0,426.5,449.5199890136719,82666800
2024-12-30,417.4100036621094,427.0,415.75,419.3999938964844,64941000
2024-12-31,403.8399963378906,427.92999267578125,402.5400085449219,423.7900085449219,76825100
2025-01-02,379.2799987792969,392.7300109863281,373.0400085449219,390.1000061035156,109710700
2025-01-03,410.44000244140625,411.8800048828125,379.45001220703125,381.4800109863281,95423300
2025-01-06,411.04998779296875,426.42999267578125,401.70001220703125,423.20001220703125,85516500
2025-01-07,394.3599853515625,414.3299865722656,390.0,405.8299865722656,75699500
2025-01-08,394.94000244140625,402.5,387.3999938964844,392.95001220703125,73038800
2025-01-10,394.739990234375,399.2799987792969,377.2900085449219,391.3999938964844,62287300
2025-01-13,403.30999755859375,403.7900085449219,380.07000732421875,383.2099914550781,67580500
2025-01-14,396.3599853515625,422.6400146484375,394.5400085449219,414.3399963378906,84565000
2025-01-15,428.2200012207031,429.79998779296875,405.6600036621094,409.8999938964844,81375500
2025-01-16,413.82000732421875,424.0,409.1300048828125,423.489990234375,68335200
2025-01-17,426.5,439.739990234375,419.75,421.5,94991400
2025-01-21,424.07000732421875,433.20001220703125,406.30999755859375,432.6400146484375,87320900
2025-01-22,415.1099853515625,428.0,414.5899963378906,416.80999755859375,60963300
2025-01-23,412.3800048828125,420.7300109863281,408.95001220703125,416.05999755859375,50690600
2025-01-24,406.5799865722656,418.8800048828125,405.7799987792969,414.45001220703125,56140900
